codigo_iata,ciudad
AGU,Aguascalientes
CDI,Isla Cedros
ESE,Ensenada
ESE,Ensenada
MXL,Mexicali
SFH,San Felipe
TIJ,Tijuana
CSL,Cabo San Lucas
CUA,Ciudad Constitución
GUB,Guerrero Negro
LAP,La Paz
LTO,Loreto
MUG,Mulegé
PVP,Santa Rosalía
SJD,Los Cabos
CME,Cd. Del Carmen
CPE,Campeche
CJT,Comitán
PJP,Pijijiapan
PQM,Palenque
SZT,San Cristobal de las Casas
TAP,Tapachula
TGM,Tuxtla Gutiérrez
TGZ,Tuxtla Gutiérrez
CJS,Cd. Juárez
CUU,Chihuahua
NCG,Nuevo Casas Grandes
ACN,Ciudad Acuña
LOV,Frontera
PDS,Piedras Negras
SLW,Saltillo
TRC,Torreón
CLQ,Colima
ZLO,Manzanillo
ZLO,Manzanillo
MEX,Cd. De México
DGO,Durango
TLC,Toluca
BJX,León
CYW,Celaya
ACA,Acapulco
PIE,Acapulco
ZIH,Ixtapa/Zihuatanejo
PCA,Pachuca
GDL,Guadalajara
LOM,Lagos de Moreno
PVR,Puerto Vallarta
TUX,Tuxpan
ZAP,Zapopan
JJC,Atizapán
SLM,Zumpango
AZG,Apatzingán
LZC,Lázaro Cárdenas
MLM,Morelia
UPN,Uruapan
ZMM,Zamora
CVJ,Cuernavaca
TNY,Tepic
TPQ,Tepic
—,Monterrey
MTY,Monterrey
NTR,Monterrey
HUX,Huatulco
IZT,Ixtepec
OAX,Oaxaca
PXM,Puerto Escondido
SCX,Salina Cruz
TCN,Tehuacán
PBC,Tlaltenango
QRO,Querétaro
CTM,Chetumal
CUN,Cancún
CZM,Cozumel
ISJ,Isla Mujeres
TUY,Tulum
SLP,San Luis Potosí
TCN,Tamuín
TSL,Tamuín
CNA,Cananea
CUL,Culiacán
LMM,Los Mochis
MZT,Mazatlán
NAV,Navojoa
PPE,Puerto Peñasco
TCP,Teacapán
UAC,San Luis Río Colorado
XAL,Álamos
CEN,Cd. Obregón
GYM,Guaymas
HMO,Hermosillo
NOG,Nogales
CPX,Ciudad Pemex
VSA,Villahermosa
CVM,Cd. Victoria
MAM,Matamoros
MMC,Ciudad Mante
NLD,Nuevo Laredo
REX,Reynosa
TAM,Tampico
JAL,Xalapa
MTT,Minatitlán
PAZ,Poza Rica
VER,Veracruz
CZA,Chichén Itzá
MID,Mérida
TZM,Tizimín
ZCL,Zacatecas
AMS,Amsterdam
ATL,Atlanta
BOG,Bogotá
BZE,Belize
CDG ,Paris
CLT ,Charlotte
DFW ,Dallas
GUA ,Guatemala 
HAV ,Havana
IAH ,Huston
JFK ,New York
LAX ,Los Ángeles
LIM ,Lima
MAD ,Madrid
MIA ,Miami
ORD ,Chicago
PHL ,Philadelphia
PHX ,Phoenix
SCL ,Santiago
YVR ,Vancouver
YYZ ,Toronto